Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2017-02,Merseyside Police,Merseyside Police,-2.775541,53.379515,On or near Thornhills,E01012420,Halton 004D,Anti-social behaviour,,
cdffa3e765dcc9ceac55b6ea0f31b7ea2c6af60b28c336de11d1202ef5b71bbb,2017-02,Merseyside Police,Merseyside Police,-2.871841,53.489745,On or near Gilescroft Avenue,E01006448,Knowsley 001A,Criminal damage and arson,Investigation complete; no suspect identified,
dd5acde3ddf2f9f52f61e298b07ac30d8de750367539157179d738f0ba967a75,2017-02,Merseyside Police,Merseyside Police,-2.869972,53.48824,On or near Roman Way,E01006448,Knowsley 001A,Drugs,Offender given a drugs possession warning,
46792d8d8bea12f9774a86021ff3ed73223454fa5f6e77ea78ddf13e3273d0b4,2017-02,Merseyside Police,Merseyside Police,-2.901175,53.450121,On or near Ampulla Road,E01006664,Liverpool 004D,Other theft,Investigation complete; no suspect identified,
6498bcd168b54b1ef139e1106249edc75c3ce2d5ecf878de921c994fc9b7e605,2017-02,Merseyside Police,Merseyside Police,-2.901444,53.452114,On or near Sovereign Road,E01006664,Liverpool 004D,Violence and sexual offences,Awaiting court outcome,
747028bf78a6449aac60dceafb8a0afb5a6577f584114068369a9bef1adc1b9c,2017-02,Merseyside Police,Merseyside Police,-2.908801,53.451124,On or near Storrington Avenue,E01006664,Liverpool 004D,Other crime,Under investigation,
afb8935b5784f53c5f014380cda4098be600e87109af2df5446384777528f890,2017-02,Merseyside Police,Merseyside Police,-3.048341,53.568741,On or near Petrol Station,E01006987,Sefton 013C,Violence and sexual offences,Under investigation,
d9ddad1e8697eaa445e3ad533d10601d35730008ff6a55ea172231bcdf78fd78,2017-02,Merseyside Police,Merseyside Police,-3.061063,53.524395,On or near North Dunes,E01007027,Sefton 021D,Criminal damage and arson,Investigation complete; no suspect identified,
fc01dd88698c5d4295c6e579683e08010a7c421d103856fd79d549e035f83971,2017-02,Merseyside Police,Merseyside Police,-2.751384,53.484469,On or near Crank Road,E01006885,St. Helens 001D,Violence and sexual offences,Under investigation,
12c99235b3e5abb3aad37f31cd1f6db80c0338af659ff748458e6802f3323a9f,2017-02,Merseyside Police,Merseyside Police,-2.669005,53.496509,On or near Cedar Grove,E01006805,St. Helens 003B,Drugs,Under investigation,
6086e403bc3488c613eef1261d4f4a00c6ce25b2c8a21e8d9a94734e5016599a,2017-02,Merseyside Police,Merseyside Police,-3.011001,53.615075,On or near New Cut Close,E01025495,West Lancashire 003B,Burglary,Investigation complete; no suspect identified,
aea4a4f130b8a599b4a262681549d9803a31e70843639c5dd000c3aa2eae4cc6,2017-02,Merseyside Police,Merseyside Police,-2.63721,53.481169,On or near Chetwode Avenue,E01006225,Wigan 036B,Violence and sexual offences,Under investigation,
a66ae168ec71bbcc26a2d6c9b65a7432ac97a9fdbdb562ee26ced3e79ad54852,2017-02,Merseyside Police,Merseyside Police,-3.037317,53.426705,On or near Penkett Road,E01007232,Wirral 002B,Public order,Investigation complete; no suspect identified,
8f7dcde5fd070565c1eddb91c90a87e5d1b57d08085d532fe93ace84bc40aeba,2017-02,Merseyside Police,Merseyside Police,-3.082396,53.419761,On or near Heyes Drive,E01007210,Wirral 006C,Criminal damage and arson,Under investigation,
